size,qsort,odd-even,double-selection
7470,0.002033,0.430952,0.211641
7480,0.002068,0.431224,0.209949
7490,0.002003,0.433664,0.210097
7500,0.002033,0.433544,0.210217
7510,0.001970,0.435625,0.215130
7520,0.001992,0.434182,0.214404
7530,0.002032,0.435275,0.214144
7540,0.002033,0.437014,0.213748
7550,0.001984,0.437084,0.214803
7560,0.002043,0.438499,0.215965
7570,0.002054,0.440948,0.214971
7580,0.002024,0.443606,0.217368
7590,0.002037,0.443137,0.217161
7600,0.002024,0.445129,0.217496
7610,0.002092,0.446725,0.221469
7620,0.002068,0.447744,0.218405
7630,0.002098,0.447828,0.221933
7640,0.002082,0.451582,0.219616
7650,0.002162,0.447278,0.220080
7660,0.002069,0.450177,0.222622
7670,0.002087,0.449849,0.222525
7680,0.002065,0.449923,0.223174
7690,0.002155,0.454914,0.223215
7700,0.002071,0.455810,0.223088
7710,0.002062,0.452381,0.222027
7720,0.002068,0.460605,0.224891
7730,0.002093,0.464086,0.223255
7740,0.002086,0.459035,0.225285
7750,0.002072,0.449932,0.226715
7760,0.002071,0.459771,0.225757
7770,0.002147,0.463935,0.227600
7780,0.002103,0.467209,0.228215
7790,0.002169,0.462345,0.229020
7800,0.002140,0.472371,0.230142
7810,0.002111,0.469769,0.230337
